zip_code,trade_name,search_query,rank,matched_name,price,size,unit_price,unit_price_basis,url,status,date,timestamp
43537,TOMATOES HYDROPONIC,hydroponic tomato,2,Greenhouse Tomato,,,,,,ok-dom,2026-05-08,2026-05-08T17:27:40Z
43537,TOMATOES HYDROPONIC,hydroponic tomato,3,Original price,$1.29,1.29 each,$1.00,/ea,,ok-dom,2026-05-08,2026-05-08T17:27:40Z
43537,ONIONS GREEN ICLS BAG RPC,green onions,1,Green Onion Bunch,$1.09,,,,,ok-dom,2026-05-08,2026-05-08T17:28:29Z
43537,ONIONS GREEN ICLS BAG RPC,green onions,2,Green Onion Bunch,,,,,,ok-dom,2026-05-08,2026-05-08T17:28:29Z
43537,ONIONS GREEN ICLS BAG RPC,green onions,3,Original price,$1.09,,,,,ok-dom,2026-05-08,2026-05-08T17:28:29Z
43537,TOMATOES BUNCHED,tomatoes on the vine,1,Tomatoes on the Vine,$4.04,1.5 lb,$2.69,/lb,,ok-dom,2026-05-08,2026-05-08T17:29:18Z
43537,TOMATOES BUNCHED,tomatoes on the vine,2,Tomatoes on the Vine,,,,,,ok-dom,2026-05-08,2026-05-08T17:29:18Z
43537,TOMATOES BUNCHED,tomatoes on the vine,3,Original price,$4.04,,,,,ok-dom,2026-05-08,2026-05-08T17:29:18Z
43537,STRAWBERRIES,strawberries,1,"Strawberries, 16 oz",$2.99,16 oz,$2.99,/lb,,ok-dom,2026-05-08,2026-05-08T17:30:07Z
43537,STRAWBERRIES,strawberries,2,"Strawberries, 16 oz",,16 oz,,,,ok-dom,2026-05-08,2026-05-08T17:30:07Z
43537,STRAWBERRIES,strawberries,3,Original price,$2.99,,,,,ok-dom,2026-05-08,2026-05-08T17:30:07Z
46774,CELERY NAKED RPC,celery,1,Fresh from Meijer Pascal Celery,$2.49,,,,,ok-dom,2026-05-08,2026-05-08T17:31:10Z
46774,CELERY NAKED RPC,celery,2,Fresh from Meijer Pascal Celery,,,,,,ok-dom,2026-05-08,2026-05-08T17:31:10Z
46774,CELERY NAKED RPC,celery,3,Original price,$2.49,,,,,ok-dom,2026-05-08,2026-05-08T17:31:10Z
46774,POTATOES IDAHO BAKER,idaho baker potato,1,Russet Potatoes Tray Pack 4 CT,$3.99,4 CT,$1.00,/ea,,ok-dom,2026-05-08,2026-05-08T17:31:59Z
46774,POTATOES IDAHO BAKER,idaho baker potato,2,Russet Potatoes Tray Pack 4 CT,,4 CT,,,,ok-dom,2026-05-08,2026-05-08T17:31:59Z
46774,POTATOES IDAHO BAKER,idaho baker potato,3,Original price,$3.99,,,,,ok-dom,2026-05-08,2026-05-08T17:31:59Z
46774,ASPARAGUS STANDARD 11LB,asparagus,1,Green Asparagus,$4.99,1.25 lb,$3.99,/lb,,ok-dom,2026-05-08,2026-05-08T17:32:49Z
46774,ASPARAGUS STANDARD 11LB,asparagus,2,Green Asparagus,,,,,,ok-dom,2026-05-08,2026-05-08T17:32:49Z
46774,ASPARAGUS STANDARD 11LB,asparagus,3,Original price,$4.99,,,,,ok-dom,2026-05-08,2026-05-08T17:32:49Z
46774,ONIONS RED JUMBO CTN 40#,red onion,1,Red Onion,$1.86,1.86 each,$1.49,/lb,,ok-dom,2026-05-08,2026-05-08T17:33:38Z
46774,ONIONS RED JUMBO CTN 40#,red onion,2,Red Onion,,,,,,ok-dom,2026-05-08,2026-05-08T17:33:38Z
46774,ONIONS RED JUMBO CTN 40#,red onion,3,Original price,$1.86,1.86 each,$1.00,/ea,,ok-dom,2026-05-08,2026-05-08T17:33:38Z
